DATA;HORA;PREC;P_EST;TBS;TBU;ES_TS;ES_TU;E;URA;DELTA_E;TPO;UA;US;R;Q
01/01/2020;0;13.4;932.2;21.6;21;25.8;24.869;24.38281697;94.506;1.417;18.42030381;17.92708131;18.9691974;0.0167;0.0164
01/01/2020;12;0;930.8;23.1;21.8;28.263;26.117;25.06437462;88.682;3.199;18.78715636;18.33483128;20.67481604;0.0172;0.0169
01/01/2020;18;2.5;929.6;24.6;21.4;30.929;25.486;22.89441611;74.022;8.035;17.58216785;16.66307301;22.51085071;0.0157;0.0155
02/01/2020;0;6.7;931.6;22.7;21.7;27.587;25.958;25.1483693;91.16;2.439;18.83167494;18.42115925;20.20755867;0.0173;0.017
02/01/2020;12;0;934.4;19.5;18.4;22.668;21.164;20.27281631;89.435;2.395;15.96390134;15.01228038;16.78575794;0.0138;0.0136
02/01/2020;18;0;934;24.6;19.8;30.929;23.094;19.20579437;62.096;11.723;15.24441867;13.97841082;22.51085071;0.0131;0.0129
03/01/2020;0;0;936.4;19.9;17.2;23.237;19.623;17.43644517;75.036;5.801;13.95832531;12.89427799;17.18406168;0.0118;0.0117
03/01/2020;12;0;937.6;21;17;24.869;19.377;16.13650102;64.886;8.732;12.92733286;11.88832014;18.32172025;0.0109;0.0108
03/01/2020;18;0;935.6;26.3;18.4;34.213;21.164;14.76481631;43.155;19.448;11.74520117;10.68512934;24.75960043;0.01;0.0099
04/01/2020;0;0;936.3;19.8;17.1;23.094;19.5;17.31263072;74.967;5.781;13.8634981;12.80708953;17.08372903;0.0117;0.0116
04/01/2020;12;0;937.2;21.6;17.8;25.8;20.381;17.30289328;67.065;8.497;13.85601163;12.72167918;18.9691974;0.0117;0.0116
04/01/2020;18;0;934.2;27.6;20.6;36.925;24.264;18.59433734;50.356;18.331;14.81387859;13.39831493;26.60697233;0.0126;0.0125
05/01/2020;0;0;933.1;21;18.2;24.869;20.9;18.63196716;74.921;6.237;14.84078065;13.72681662;18.32172025;0.0127;0.0125
05/01/2020;12;0;933.4;21.6;18.3;25.8;21.032;18.35852959;71.157;7.442;14.64404684;13.49781911;18.9691974;0.0125;0.0123
05/01/2020;18;0;929.9;30.2;20.2;42.917;23.673;15.5727408;36.286;27.344;12.45411906;11.12485375;30.65894848;0.0106;0.0105
06/01/2020;0;0;930.6;22.6;19;27.42;21.973;19.05693665;69.499;8.363;15.14088046;13.96391231;20.09217555;0.013;0.0128
06/01/2020;12;0;931.5;24;18.8;29.837;21.7;17.4882738;58.612;12.349;13.99782013;12.75407443;21.76027636;0.0119;0.0118
06/01/2020;18;0;929;31.6;20.5;46.48;24.115;15.12423957;32.539;31.356;12.06525128;10.75479413;33.05187641;0.0103;0.0102
07/01/2020;0;0;930.7;23.3;18.8;28.607;21.7;18.0552738;63.116;10.551;14.42240274;13.19869154;20.91191232;0.0123;0.0122
07/01/2020;12;0;933.1;24.2;21;30.198;24.869;22.27681697;73.77;7.921;17.21827387;16.23539218;22.00803831;0.0152;0.015
07/01/2020;18;0;931;29.8;22;41.943;26.438;20.11993955;47.969;21.824;15.86317499;14.39226852;30.0031509;0.0137;0.0136
08/01/2020;0;0;933.1;24.2;20.6;30.198;24.264;21.34833734;70.696;8.849;16.65176847;15.55871422;22.00803831;0.0146;0.0144
08/01/2020;12;0;933.6;24.8;21.3;31.301;25.331;22.49577331;71.87;8.805;17.34842617;16.36193586;22.76594024;0.0154;0.0151
08/01/2020;18;0;932.3;32.2;22;48.084;26.438;18.17593955;37.8;29.908;14.51103786;12.8994381;34.12532903;0.0124;0.0122
09/01/2020;0;0;932.4;26.8;21;35.235;24.869;20.17081697;57.247;15.064;15.89678146;14.57304521;25.45664712;0.0138;0.0136
09/01/2020;12;0;934.7;26.6;22.2;34.823;26.762;23.19793586;66.617;11.625;17.75742165;16.77127139;25.17583255;0.0158;0.0156
09/01/2020;18;0;932.2;33.2;24.2;50.865;30.198;22.90754841;45.036;27.957;17.58979847;16.20435985;35.98072039;0.0157;0.0154
10/01/2020;0;0;933.6;27.8;23.2;37.359;28.434;24.70847968;66.138;12.65;18.59685595;17.79207679;26.90142655;0.0169;0.0166
10/01/2020;12;41.8;936.2;21;20.6;24.869;24.264;23.94033734;96.266;0.928;18.17660511;17.6376771;18.32172025;0.0163;0.0161
10/01/2020;18;7.4;930.8;23.6;22.4;29.129;27.089;26.11739451;89.662;3.011;19.33478435;19.07291858;21.27194419;0.018;0.0176
